* c0 0.0
* kappa 15.0
* Ka 4e2
* A0 0.0021911563
* PC 4
* _PC 4
105 An0 2.03765
105 An1 2.06112
105 An2 2.18441
106 An0 2.04937
106 An1 2.02538
106 An2 2.20843
107 An0 2.061
107 An1 2.06094
107 An2 2.16125
108 An0 2.03766
108 An1 2.06116
108 An2 2.18437
109 An0 2.06116
109 An1 2.03766
109 An2 2.18437
110 An0 2.06098
110 An1 2.06098
110 An2 2.16123
111 An0 2.02538
111 An1 2.04937
111 An2 2.20843
112 An0 2.06114
112 An1 2.03765
112 An2 2.18439
113 An0 2.06094
113 An1 2.061
113 An2 2.16125
114 An0 2.08737
114 An1 2.10375
114 An2 2.09206
115 An0 2.08165
115 An1 2.11988
115 An2 2.08166
116 An0 2.09209
116 An1 2.10374
116 An2 2.08735
117 An0 2.12512
117 An1 2.01201
117 An2 2.14606
118 An0 2.27507
118 An1 1.88606
118 An2 2.12206
119 An0 2.21825
119 An1 1.97953
119 An2 2.08541
120 An0 2.21484
120 An1 2.08293
120 An2 1.98542
121 An0 2.27505
121 An1 2.12207
121 An2 1.88607
122 An0 2.12014
122 An1 2.15083
122 An2 2.01221
123 An0 2.08737
123 An1 2.10374
123 An2 2.09208
124 An0 2.08164
124 An1 2.11991
124 An2 2.08164
125 An0 2.09208
125 An1 2.10374
125 An2 2.08737
126 An0 2.12014
126 An1 2.0122
126 An2 2.15084
127 An0 2.27506
127 An1 1.88607
127 An2 2.12205
128 An0 2.21483
128 An1 1.98544
128 An2 2.08292
129 An0 2.21483
129 An1 2.08292
129 An2 1.98544
130 An0 2.27506
130 An1 2.12205
130 An2 1.88607
131 An0 2.12014
131 An1 2.15084
131 An2 2.0122
132 An0 2.08735
132 An1 2.10374
132 An2 2.09209
133 An0 2.08166
133 An1 2.11988
133 An2 2.08165
134 An0 2.09206
134 An1 2.10375
134 An2 2.08737
135 An0 2.12014
135 An1 2.01221
135 An2 2.15083
136 An0 2.27505
136 An1 1.88607
136 An2 2.12207
137 An0 2.21484
137 An1 1.98542
137 An2 2.08293
138 An0 2.21825
138 An1 2.08541
138 An2 1.97953
139 An0 2.27507
139 An1 2.12206
139 An2 1.88606
140 An0 2.12512
140 An1 2.14606
140 An2 2.01201
141 An0 2.08737
141 An1 2.10375
141 An2 2.09206
142 An0 2.08165
142 An1 2.11988
142 An2 2.08166
143 An0 2.09209
143 An1 2.10374
143 An2 2.08735
144 An0 2.12512
144 An1 2.01201
144 An2 2.14606
145 An0 2.27507
145 An1 1.88606
145 An2 2.12206
146 An0 2.21825
146 An1 1.97953
146 An2 2.08541
147 An0 2.21484
147 An1 2.08293
147 An2 1.98542
148 An0 2.27505
148 An1 2.12207
148 An2 1.88607
149 An0 2.12014
149 An1 2.15083
149 An2 2.01221
150 An0 2.08737
150 An1 2.10374
150 An2 2.09208
151 An0 2.08164
151 An1 2.11991
151 An2 2.08164
152 An0 2.09208
152 An1 2.10374
152 An2 2.08737
153 An0 2.12014
153 An1 2.0122
153 An2 2.15084
154 An0 2.27506
154 An1 1.88607
154 An2 2.12205
155 An0 2.21483
155 An1 1.98544
155 An2 2.08292
156 An0 2.21483
156 An1 2.08292
156 An2 1.98544
157 An0 2.27506
157 An1 2.12205
157 An2 1.88607
158 An0 2.12014
158 An1 2.15084
158 An2 2.0122
159 An0 2.08735
159 An1 2.10374
159 An2 2.09209
160 An0 2.08166
160 An1 2.11988
160 An2 2.08165
161 An0 2.09206
161 An1 2.10375
161 An2 2.08737
162 An0 2.13144
162 An1 2.1465
162 An2 2.00525
163 An0 2.27008
163 An1 1.88645
163 An2 2.12665
164 An0 2.10542
164 An1 2.21294
164 An2 1.96483
165 An0 2.21825
165 An1 2.08541
165 An2 1.97953
166 An0 2.27507
166 An1 2.12206
166 An2 1.88606
167 An0 2.12512
167 An1 2.14606
167 An2 2.01201
168 An0 2.08571
168 An1 2.12245
168 An2 2.07503
169 An0 2.06485
169 An1 2.17537
169 An2 2.04296
170 An0 2.07335
170 An1 2.14341
170 An2 2.06642
171 An0 2.25355
171 An1 1.99745
171 An2 2.03219
172 An0 2.35157
172 An1 1.9658
172 An2 1.96581
173 An0 2.25356
173 An1 2.0322
173 An2 1.99742
174 An0 2.06644
174 An1 2.1434
174 An2 2.07335
175 An0 2.17539
175 An1 2.06484
175 An2 2.04296
176 An0 2.07504
176 An1 2.12243
176 An2 2.08571
177 An0 2.08574
177 An1 2.12244
177 An2 2.075
178 An0 2.07654
178 An1 2.17418
178 An2 2.03246
179 An0 2.07336
179 An1 2.14341
179 An2 2.06641
180 An0 2.25356
180 An1 1.99744
180 An2 2.03219
181 An0 2.35156
181 An1 1.96582
181 An2 1.96582
182 An0 2.25356
182 An1 2.03219
182 An2 1.99744
183 An0 2.06641
183 An1 2.14341
183 An2 2.07336
184 An0 2.03246
184 An1 2.17418
184 An2 2.07654
185 An0 2.075
185 An1 2.12244
185 An2 2.08574
186 An0 2.08571
186 An1 2.12243
186 An2 2.07504
187 An0 2.16059
187 An1 2.04434
187 An2 2.07825
188 An0 2.07335
188 An1 2.1434
188 An2 2.06644
189 An0 2.25356
189 An1 1.99742
189 An2 2.0322
190 An0 2.35157
190 An1 1.96581
190 An2 1.9658
191 An0 2.25355
191 An1 2.03219
191 An2 1.99745
192 An0 2.06642
192 An1 2.14341
192 An2 2.07335
193 An0 2.17537
193 An1 2.06488
193 An2 2.04294
194 An0 2.07503
194 An1 2.12245
194 An2 2.08571
195 An0 2.08571
195 An1 2.12245
195 An2 2.07503
196 An0 2.06485
196 An1 2.17537
196 An2 2.04296
197 An0 2.07335
197 An1 2.14341
197 An2 2.06642
198 An0 2.25355
198 An1 1.99745
198 An2 2.03219
199 An0 2.34894
199 An1 1.95996
199 An2 1.97429
200 An0 2.69673
200 An1 1.58468
200 An2 2.00177
201 An0 2.06644
201 An1 2.1434
201 An2 2.07335
202 An0 2.03247
202 An1 2.17418
202 An2 2.07654
203 An0 2.07504
203 An1 2.12243
203 An2 2.08571
204 An0 2.08574
204 An1 2.12244
204 An2 2.075
205 An0 2.07654
205 An1 2.17418
205 An2 2.03246
206 An0 2.07336
206 An1 2.14341
206 An2 2.06641
207 An0 2.25356
207 An1 1.99744
207 An2 2.03219
208 An0 2.35156
208 An1 1.96582
208 An2 1.96582
209 An0 2.25356
209 An1 2.03219
209 An2 1.99744
210 An0 2.06641
210 An1 2.14341
210 An2 2.07336
211 An0 2.03246
211 An1 2.17418
211 An2 2.07654
212 An0 2.075
212 An1 2.12244
212 An2 2.08574
213 An0 2.08571
213 An1 2.12243
213 An2 2.07504
214 An0 2.07654
214 An1 2.17418
214 An2 2.03247
215 An0 2.07335
215 An1 2.1434
